claim_number,subrogation
3126034,0
7380142,1
4655051,0
6728725,1
9848460,1
7164028,0
8693447,1
3185825,0
4469488,0
6027831,1
5236752,0
1444612,1
3965936,0
3742533,0
9549486,0
2260055,1
6888075,0
8450385,0
2545883,0
8295148,1
5555536,0
6219118,0
3285919,0
2564511,1
5436470,0
6127594,0
3583710,1
7774769,0
9150188,1
4272309,0
8659898,0
5495748,1
6533301,0
3269282,0
9532163,1
9924339,0
9763393,1
1664240,0
2021450,1
4719332,0
2838817,1
4455711,1
5762728,0
3987380,0
9956168,0
4920952,1
6615058,0
6066901,0
1423526,1
4949181,0
5025078,1
7238700,0
1530486,1
3388905,0
3130695,0
8758848,1
5365463,0
2252359,0
3698394,0
6007144,0
1089442,1
8603918,0
6848775,0
3565394,1
3043603,0
5713756,1
5846025,0
3742084,0
3361330,0
5648933,0
5692257,1
8347359,0
8756050,1
2202455,0
5168719,1
3343232,0
5111311,0
9768376,1
7326360,1
8150477,0
5007390,1
3310723,1
2124886,1
9146629,0
5835254,1
1491780,1
4991158,1
6458409,0
5596790,0
7159923,0
4918766,0
9301463,1
9313192,1
5509003,0
8238540,1
5749003,0
6117240,0
7359210,1
7117779,0
3455416,0
5205150,0
5103168,1
4612651,0
7499000,1
5978057,0
8660103,0
2772978,0
1504886,1
3138138,1
3315018,0
2982484,0
4703134,0
2054282,0
1044084,1
9406024,0
1480638,0
5068229,0
4121511,0
5364341,1
9773687,1
1788524,0
6252065,1
2656558,0
2436521,1
5468305,0
2067719,1
7302115,1
9197055,0
5355302,0
3283837,1
8200183,0
9478950,1
5685995,1
1912712,1
6123630,0
1873930,1
3713185,0
6937524,0
1973289,0
5545045,0
4422883,0
1158715,0
1483851,1
6519571,1
8804745,1
8366864,0
1007396,0
1889156,0
7549888,0
5373798,0
4698961,0
4790976,1
8829319,1
3691911,0
5839006,0
1923196,0
2619177,0
2624468,0
5794522,1
1152673,0
6445439,0
4858502,1
1030165,1
4362645,1
1152812,1
9802185,0
1603217,1
5163486,0
1830291,1
6611184,1
3925328,0
2583080,0
9318706,0
4683278,1
2518131,1
4081439,1
9400054,1
5603736,0
3416849,0
7292698,0
6528757,0
9979253,1
4270975,0
4985621,0
2900826,0
