claim_number,subrogation
3126034,0.0
7380142,1.0
4655051,0.0
6728725,1.0
9848460,1.0
7164028,0.0
8693447,1.0
3185825,0.0
4469488,0.0
6027831,1.0
5236752,0.0
1444612,1.0
3965936,0.0
3742533,0.0
9549486,0.0
2260055,1.0
6888075,0.0
8450385,0.0
2545883,0.0
8295148,1.0
5555536,0.0
6219118,1.0
3285919,0.0
2564511,1.0
5436470,0.0
6127594,0.0
3583710,1.0
7774769,0.0
9150188,0.0
4272309,0.0
8659898,0.0
5495748,1.0
6533301,0.0
3269282,0.0
9532163,1.0
9924339,0.0
9763393,1.0
1664240,0.0
2021450,1.0
4719332,0.0
2838817,1.0
4455711,1.0
5762728,0.0
3987380,0.0
9956168,0.0
4920952,1.0
6615058,0.0
6066901,0.0
1423526,1.0
4949181,0.0
5025078,1.0
7238700,0.0
1530486,1.0
3388905,0.0
3130695,0.0
8758848,1.0
5365463,0.0
2252359,0.0
3698394,0.0
6007144,0.0
1089442,1.0
8603918,0.0
6848775,0.0
3565394,1.0
3043603,0.0
5713756,1.0
5846025,0.0
3742084,1.0
3361330,0.0
5648933,0.0
5692257,1.0
8347359,0.0
8756050,1.0
2202455,1.0
5168719,0.0
3343232,0.0
5111311,0.0
9768376,1.0
7326360,1.0
8150477,0.0
5007390,1.0
3310723,1.0
2124886,1.0
9146629,1.0
5835254,1.0
1491780,1.0
4991158,1.0
6458409,0.0
5596790,0.0
7159923,0.0
4918766,0.0
9301463,1.0
9313192,1.0
5509003,0.0
8238540,1.0
5749003,0.0
6117240,0.0
7359210,1.0
7117779,0.0
3455416,0.0
5205150,1.0
5103168,1.0
4612651,1.0
7499000,1.0
5978057,0.0
8660103,0.0
2772978,0.0
1504886,1.0
3138138,1.0
3315018,0.0
2982484,0.0
4703134,0.0
2054282,0.0
1044084,1.0
9406024,0.0
1480638,0.0
5068229,0.0
4121511,1.0
5364341,1.0
9773687,1.0
1788524,0.0
6252065,1.0
2656558,1.0
2436521,1.0
5468305,0.0
2067719,1.0
