claim_number,prediction_prob,subrogation
3126034,0.14102823,0
7380142,0.28337494,1
4655051,0.047796458,0
6728725,0.55899554,1
9848460,0.33299226,1
7164028,0.014295708,0
8693447,0.42996153,1
3185825,0.05869715,0
4469488,0.14760928,0
6027831,0.6575561,1
5236752,0.05658361,0
1444612,0.43078277,1
3965936,0.15700382,0
3742533,0.19964375,0
9549486,0.049950138,0
2260055,0.53878295,1
6888075,0.023488369,0
8450385,0.014487776,0
2545883,0.10499811,0
8295148,0.4001138,1
5555536,0.011406745,0
6219118,0.2541474,0
3285919,0.06367541,0
2564511,0.5359376,1
5436470,0.014376133,0
6127594,0.14109117,0
3583710,0.40662366,1
7774769,0.015351713,0
9150188,0.27867347,1
4272309,0.19190918,0
8659898,0.16385715,0
5495748,0.34070882,1
6533301,0.023442525,0
3269282,0.14791037,0
9532163,0.55170244,1
9924339,0.017667696,0
9763393,0.61887574,1
1664240,0.036083844,0
2021450,0.6562019,1
4719332,0.18486337,0
2838817,0.47981855,1
4455711,0.5909481,1
5762728,0.05004661,0
3987380,0.058997843,0
9956168,0.07811042,0
4920952,0.40127528,1
6615058,0.1064753,0
6066901,0.27347246,1
1423526,0.38351429,1
4949181,0.018428626,0
5025078,0.507233,1
7238700,0.086912,0
1530486,0.36479872,1
3388905,0.10604819,0
3130695,0.012994142,0
8758848,0.24795263,0
5365463,0.014970547,0
2252359,0.08626273,0
3698394,0.034960233,0
6007144,0.005067455,0
1089442,0.7287652,1
8603918,0.08301988,0
6848775,0.10134965,0
3565394,0.28930563,1
3043603,0.07852982,0
5713756,0.7555477,1
5846025,0.022575812,0
3742084,0.21760964,0
3361330,0.060898192,0
5648933,0.029202642,0
5692257,0.26966098,0
8347359,0.026364446,0
8756050,0.54191816,1
2202455,0.17168361,0
5168719,0.21968672,0
3343232,0.0066427765,0
5111311,0.006079968,0
9768376,0.39395002,1
7326360,0.5485863,1
8150477,0.029213548,0
5007390,0.38755777,1
3310723,0.80996346,1
2124886,0.28228763,1
9146629,0.2586048,0
5835254,0.3798119,1
1491780,0.7668709,1
4991158,0.27343822,1
6458409,0.039145485,0
5596790,0.027633552,0
7159923,0.11276158,0
4918766,0.22438197,0
9301463,0.66219187,1
9313192,0.5803138,1
5509003,0.09323019,0
8238540,0.33307528,1
5749003,0.056950845,0
6117240,0.105694555,0
7359210,0.22707212,0
7117779,0.22666767,0
3455416,0.04135051,0
5205150,0.26116133,0
5103168,0.3406215,1
4612651,0.28640938,1
7499000,0.73047805,1
5978057,0.04262982,0
8660103,0.008482062,0
2772978,0.22017938,0
1504886,0.42155427,1
3138138,0.40173203,1
3315018,0.11316307,0
2982484,0.006591492,0
4703134,0.07075274,0
2054282,0.015378967,0
1044084,0.26335007,0
9406024,0.0630571,0
1480638,0.16845825,0
5068229,0.023330139,0
4121511,0.18725392,0
5364341,0.60934335,1
9773687,0.47391465,1
1788524,0.08277569,0
6252065,0.5749787,1
2656558,0.22912447,0
2436521,0.3476678,1
5468305,0.027582707,0
2067719,0.36449262,1
7302115,0.2979881,1
9197055,0.039475586,0
5355302,0.06872237,0
3283837,0.36091715,1
8200183,0.1573916,0
9478950,0.57569534,1
5685995,0.7470736,1
1912712,0.430658,1
6123630,0.050005224,0
1873930,0.7743018,1
3713185,0.13153623,0
6937524,0.16578698,0
1973289,0.14496385,0
5545045,0.028460626,0
4422883,0.17823915,0
1158715,0.167565,0
1483851,0.5923785,1
6519571,0.47002503,1
8804745,0.26938674,0
8366864,0.23700526,0
1007396,0.23243694,0
1889156,0.25937897,0
7549888,0.11091887,0
5373798,0.009929268,0
4698961,0.057464734,0
4790976,0.3255762,1
8829319,0.43670434,1
3691911,0.101422146,0
5839006,0.08033383,0
1923196,0.013928237,0
2619177,0.056199368,0
2624468,0.33048168,1
5794522,0.31371218,1
1152673,0.06803621,0
